Width,Color,Steering_angle_difference,Other_lane_intersection
2,159,1.3622241131961341,0.0
2,160,1.3163694888353348,0.0
2,161,1.3186192922294144,0.0
2,162,1.1796871647238731,0.0
2,163,1.4189850091934204,0.0
2,164,1.2078669592738152,0.0
2,165,1.195887386798859,0.0
2,166,1.44673016667366,0.0
2,167,1.3324022330343723,0.0
2,168,1.3161496445536613,0.0
2,169,1.0797372907400131,0.0
2,170,0.9254613220691684,0.0
2,171,1.1968135163187978,0.0
2,172,1.2445572093129158,0.0
2,173,0.9765813201665878,0.0
2,174,1.1447480022907257,0.0
2,175,0.7647959068417546,0.0
2,176,0.9307451955974104,0.0
2,177,1.051131747663021,0.0
2,178,1.1797211840748787,0.0
2,179,1.0762929879128933,0.0
2,180,0.9283762797713279,0.0
2,181,1.3322268389165401,0.0
2,182,0.6071063354611396,0.0
2,183,0.8346809595823292,0.0
2,184,0.9777512885630131,0.0
2,185,1.2985286638140678,0.0
2,186,0.8640033304691315,0.0
2,187,0.8558756522834301,0.0
2,188,0.9531686566770077,0.0
2,189,0.9634490534663203,0.0
2,190,1.1460921429097648,0.0
2,191,1.0633197911083696,0.0
2,192,1.166228536516428,0.0
2,193,0.8740383200347426,0.0
2,194,0.9721888713538649,0.0
2,195,0.9697237014770509,0.0
2,196,1.1100780479609966,0.0
2,197,0.8031521067023277,0.0
2,198,1.0489413775503638,0.0
2,199,0.5251802578568456,0.0
2,200,1.3046663329005244,0.0
2,201,0.9800276532769205,0.0
2,202,1.0838040038943288,0.0
2,203,1.1040191501379013,0.0
2,204,0.9610700309276581,0.0
2,205,0.26325734332203865,0.0
2,206,0.813838079571724,0.0
2,207,0.5725002922117712,0.0
2,208,1.182768147438765,0.0
2,209,0.9973111860454082,0.0
2,210,1.1157658100128176,0.0
2,211,1.0207560621201994,0.0
2,212,1.0069334097206595,0.0
2,213,1.0865093432366852,0.0
2,214,0.7487187460064888,0.0
2,215,1.1231073588132858,0.0
2,216,0.9331534355878832,0.0
2,217,0.9684958942234515,0.0
2,218,1.246714808046818,0.0
2,219,1.0335881151258945,0.0
2,220,0.9607701450586319,0.0
2,221,1.201199062168598,0.0
2,222,1.303006500005722,0.0
2,223,1.157329834997654,0.0
2,224,1.1755131520330904,0.0
2,225,0.9594300687313079,0.0
2,226,1.133929241448641,0.0
2,227,1.2277668528258798,0.0
2,228,0.7084951177239422,0.0
2,229,1.087190251797438,0.0
2,230,0.5031683892011647,0.0
2,231,0.5492199398577212,0.0
2,232,1.0149946026504042,0.0
2,233,0.6470676921308043,0.0
2,234,0.9962190389633181,0.0
2,235,1.069127470254898,0.0
2,236,0.5469747819006441,0.0
2,237,0.8454501293599607,0.0
2,238,1.0803420543670652,0.0
2,239,1.2193522751331332,0.0
2,240,1.1149389110505579,0.0
2,241,0.7658380679786208,0.0
2,242,1.041177589446306,0.0
2,243,1.0479375906288624,0.0
2,244,0.9606732428073885,0.0
2,245,1.1678209900856016,0.0
2,246,0.6502077057957647,0.0
2,247,1.1133392192423344,0.0
2,248,0.5729977935552597,0.0
2,249,0.9199831262230873,0.0
2,250,0.9015469327569008,0.0
2,251,0.9627022929489613,0.0
2,252,1.140475183725357,0.0
2,253,1.028829500079155,0.0
2,254,0.8375323861837387,0.0
3,0,-0.24623324722051604,0.0
3,1,-1.2786940336227413,0.0
3,2,-0.23087334632873507,0.0
3,3,-0.3585594296455379,0.0
3,4,0.5806837789714336,0.0
3,5,-0.40965227037668217,0.0
3,6,0.0016979128122332487,0.0
3,7,-0.30976641178131104,0.0
3,8,-0.47037978097796396,0.0
3,9,-0.4393527694046495,0.0
3,10,-0.24756773933768297,0.0
3,11,-0.25030231848359086,0.0
