Width,Color,Steering_angle_difference
3.00,105.00,0.03
3.00,106.00,-0.26
3.00,107.00,0.08
3.00,108.00,0.28
3.00,109.00,0.41
3.00,110.00,0.32
3.00,111.00,0.03
3.00,112.00,0.06
3.00,113.00,0.24
3.00,114.00,0.11
3.00,115.00,0.38
3.00,116.00,0.13
3.00,117.00,0.45
3.00,118.00,-0.20
3.00,119.00,0.19
3.00,120.00,0.38
3.00,121.00,0.11
3.00,122.00,0.29
3.00,123.00,0.46
3.00,124.00,0.55
3.00,125.00,0.67
3.00,126.00,0.61
3.00,127.00,0.57
3.00,128.00,0.64
3.00,129.00,0.35
3.00,130.00,0.82
3.00,131.00,0.65
3.00,132.00,1.08
3.00,133.00,0.52
3.00,134.00,0.67
3.00,135.00,0.66
3.00,136.00,0.74
3.00,137.00,0.66
3.00,138.00,0.74
3.00,139.00,0.73
3.00,140.00,0.93
3.00,141.00,0.41
3.00,142.00,0.60
3.00,143.00,0.71
3.00,144.00,0.74
3.00,145.00,1.12
3.00,146.00,0.76
3.00,147.00,1.01
3.00,148.00,0.73
3.00,149.00,0.85
3.00,150.00,0.88
3.00,151.00,0.82
3.00,152.00,1.01
3.00,153.00,1.25
3.00,154.00,1.01
3.00,155.00,1.23
3.00,156.00,0.99
3.00,157.00,1.15
3.00,158.00,1.17
3.00,159.00,1.55
3.00,160.00,1.13
3.00,161.00,0.96
3.00,162.00,1.10
3.00,163.00,1.16
3.00,164.00,0.97
3.00,165.00,1.24
3.00,166.00,1.20
3.00,167.00,1.24
3.00,168.00,1.21
3.00,169.00,1.00
3.00,170.00,0.92
3.00,171.00,1.14
3.00,172.00,1.10
3.00,173.00,0.91
3.00,174.00,0.76
3.00,175.00,0.93
3.00,176.00,0.87
3.00,177.00,1.12
3.00,178.00,1.12
3.00,179.00,1.09
3.00,180.00,1.12
3.00,181.00,0.99
3.00,182.00,0.84
3.00,183.00,1.01
3.00,184.00,1.30
3.00,185.00,1.11
3.00,186.00,1.14
3.00,187.00,0.88
3.00,188.00,0.97
3.00,189.00,1.01
3.00,190.00,1.20
3.00,191.00,1.05
3.00,192.00,1.33
3.00,193.00,0.84
3.00,194.00,1.34
3.00,195.00,1.10
3.00,196.00,1.23
3.00,197.00,0.71
3.00,198.00,0.71
3.00,199.00,1.05
3.00,200.00,0.86
3.00,201.00,1.17
3.00,202.00,0.78
3.00,203.00,1.08
3.00,204.00,0.99
3.00,205.00,1.02
3.00,206.00,1.13
3.00,207.00,1.21
3.00,208.00,1.03
3.00,209.00,0.78
3.00,210.00,0.89
3.00,211.00,0.95
3.00,212.00,1.03
3.00,213.00,1.00
3.00,214.00,1.39
3.00,215.00,0.89
3.00,216.00,1.08
3.00,217.00,0.81
3.00,218.00,0.79
3.00,219.00,0.97
3.00,220.00,0.84
3.00,221.00,1.08
3.00,222.00,0.83
3.00,223.00,0.79
3.00,224.00,0.87
3.00,225.00,1.08
3.00,226.00,1.07
3.00,227.00,0.68
3.00,228.00,1.03
3.00,229.00,0.94
3.00,230.00,1.10
3.00,231.00,0.82
3.00,232.00,1.11
3.00,233.00,1.03
3.00,234.00,1.05
3.00,235.00,0.82
3.00,236.00,1.07
3.00,237.00,0.95
3.00,238.00,1.03
3.00,239.00,1.27
3.00,240.00,1.11
3.00,241.00,2.63
3.00,242.00,0.74
3.00,243.00,1.09
3.00,244.00,0.88
3.00,245.00,0.80
3.00,246.00,1.01
3.00,247.00,1.00
3.00,248.00,1.03
3.00,249.00,1.17
3.00,250.00,1.37
3.00,251.00,1.29
3.00,252.00,1.28
3.00,253.00,1.09
3.00,254.00,1.31
4.00,0.00,-1.69
4.00,1.00,-1.62
4.00,2.00,-1.68
4.00,3.00,-1.63
4.00,4.00,-1.02
4.00,5.00,-1.56
4.00,6.00,-0.67
4.00,7.00,-1.45
4.00,8.00,-1.70
4.00,9.00,-0.57
4.00,10.00,-0.83
4.00,11.00,-1.76
4.00,12.00,-1.70
4.00,13.00,-0.98
4.00,14.00,-1.43
4.00,15.00,-1.56
4.00,16.00,-1.53
4.00,17.00,-1.79
4.00,18.00,-1.64
4.00,19.00,-1.93
4.00,20.00,-1.19
4.00,21.00,-1.53
4.00,22.00,-1.93
4.00,23.00,-1.70
4.00,24.00,-1.58
4.00,25.00,-1.43
4.00,26.00,-1.96
4.00,27.00,-1.49
4.00,28.00,-1.22
4.00,29.00,-1.44
4.00,30.00,-0.96
4.00,31.00,-1.06
4.00,32.00,-0.98
4.00,33.00,-1.18
4.00,34.00,-0.59
4.00,35.00,-0.79
4.00,36.00,-1.75
4.00,37.00,-1.25
4.00,38.00,-1.22
4.00,39.00,-1.68
4.00,40.00,-1.02
4.00,41.00,-1.69
4.00,42.00,-1.87
4.00,43.00,-1.32
4.00,44.00,-1.31
4.00,45.00,-0.98
4.00,46.00,-1.84
4.00,47.00,-1.41
4.00,48.00,-1.63
4.00,49.00,-1.65
4.00,50.00,-1.75
4.00,51.00,-1.33
4.00,52.00,-1.31
4.00,53.00,-1.06
4.00,54.00,-1.91
4.00,55.00,-1.19
4.00,56.00,-1.83
4.00,57.00,-1.42
4.00,58.00,-0.57
4.00,59.00,-1.35
4.00,60.00,-0.07
4.00,61.00,-0.06
4.00,62.00,-0.88
4.00,63.00,-0.26
4.00,64.00,-0.17
4.00,65.00,0.62
4.00,66.00,0.15
4.00,67.00,-0.05
4.00,68.00,-0.17
4.00,69.00,-0.25
4.00,70.00,-0.49
4.00,71.00,0.20
4.00,72.00,0.14
4.00,73.00,-0.41
4.00,74.00,0.06
4.00,75.00,-0.08
4.00,76.00,-0.18
4.00,77.00,-0.10
4.00,78.00,-0.08
4.00,79.00,-0.04
4.00,80.00,-0.42
4.00,81.00,-0.06
4.00,82.00,0.04
4.00,83.00,0.24
4.00,84.00,-0.49
4.00,85.00,0.03
4.00,86.00,-0.47
4.00,87.00,-0.09
4.00,88.00,-0.07
4.00,89.00,0.00
4.00,90.00,-0.19
4.00,91.00,-0.33
4.00,92.00,-0.54
4.00,93.00,-0.06
4.00,94.00,-0.07
4.00,95.00,-0.47
4.00,96.00,0.10
4.00,97.00,-0.25
4.00,98.00,-0.10
4.00,99.00,-0.16
4.00,100.00,-0.24
4.00,101.00,-0.71
4.00,102.00,-0.39
4.00,103.00,-0.32
4.00,104.00,-0.34
4.00,105.00,-0.01
4.00,106.00,-0.26
4.00,107.00,0.12
4.00,108.00,0.01
4.00,109.00,0.06
4.00,110.00,0.02
4.00,111.00,0.11
4.00,112.00,0.30
4.00,113.00,0.09
4.00,114.00,0.41
4.00,115.00,0.36
4.00,116.00,-0.10
4.00,117.00,0.30
4.00,118.00,0.54
4.00,119.00,0.12
4.00,120.00,0.40
4.00,121.00,0.51
4.00,122.00,0.71
4.00,123.00,0.26
4.00,124.00,-0.14
4.00,125.00,0.77
4.00,126.00,0.18
4.00,127.00,0.96
4.00,128.00,0.52
4.00,129.00,0.45
4.00,130.00,0.30
4.00,131.00,0.89
4.00,132.00,0.26
4.00,133.00,0.63
4.00,134.00,0.91
4.00,135.00,0.56
4.00,136.00,1.19
4.00,137.00,0.74
4.00,138.00,0.87
4.00,139.00,0.76
4.00,140.00,0.41
4.00,141.00,0.96
4.00,142.00,0.68
4.00,143.00,0.43
4.00,144.00,0.56
4.00,145.00,0.73
4.00,146.00,0.90
4.00,147.00,0.69
4.00,148.00,0.67
4.00,149.00,1.18
4.00,150.00,0.83
4.00,151.00,1.02
4.00,152.00,0.95
4.00,153.00,0.42
4.00,154.00,1.01
4.00,155.00,0.89
4.00,156.00,0.74
4.00,157.00,1.03
4.00,158.00,0.43
4.00,159.00,1.15
4.00,160.00,0.95
4.00,161.00,1.46
4.00,162.00,1.18
4.00,163.00,0.68
4.00,164.00,1.40
4.00,165.00,1.09
4.00,166.00,1.44
4.00,167.00,1.45
4.00,168.00,1.24
4.00,169.00,1.70
4.00,170.00,1.38
4.00,171.00,1.30
